legajo,nivel,titulo,colacion,promedio,promedio_lineal
56412,Grado,Ingeniero en Petróleo,55,7.98,8.13
56404,Grado,Ingeniero en Petróleo,55,6.85,6.96
55059,Grado,Ingeniero en Petróleo,55,7.29,7.62
55063,Grado,Ingeniero Industrial,55,6.84,7.07
54014,Grado,Ingeniero Industrial,55,5.07,5.89
53450,Grado,Ingeniero Industrial,55,6.36,7.04
54435,Grado,Ingeniero Industrial,55,6.42,6.94
54460,Grado,Ingeniero Industrial,55,6.09,6.6
56694,Grado,Ingeniero Industrial,55,6.52,6.86
55128,Grado,Ingeniero Industrial,55,6.23,6.65
55313,Grado,Ingeniero Industrial,55,6.29,6.8
55109,Grado,Ingeniero Industrial,55,5.82,6.43
54148,Grado,Ingeniero Industrial,55,5.85,6.65
54347,Grado,Bioingeniero,55,7.05,7.24
55266,Grado,Ingeniero en Informática,55,7.76,7.83
55027,Grado,Ingeniero en Informática,55,7.1,7.2
56403,Grado,Ingeniero en Petróleo,55,7.33,7.48
54363,Grado,Ingeniero Químico,55,6.52,6.73
54245,Grado,Ingeniero Industrial,55,6.03,6.42
55564,Grado,Ingeniero en Informática,55,7.28,7.38
52251,Grado,Ingeniero Industrial,55,5.71,6.61
52194,Grado,Ingeniero en Informática,55,6.6,7.05
51117,Grado,Ingeniero en Informática,55,6.05,6.63
55431,Grado,Ingeniero en Informática,55,7.08,7.2
51092,Grado,Ingeniero Químico,55,5.9,6.5
56297,Grado,Lic.en Administración y Sistemas,55,7.99,7.94
55101,Grado,Ingeniero Industrial,55,6.56,6.9
50824,Grado,Ingeniero Industrial,55,5.31,6.07
55327,Grado,Bioingeniero,55,8.39,8.46
54379,Grado,Ingeniero en Petróleo,55,6.68,7.13
51393,Grado,Ingeniero Químico,55,5.68,6.39
52136,Grado,Ingeniero Químico,55,5.96,6.51
53206,Grado,Ingeniero Químico,55,5.91,6.13
55142,Grado,Ingeniero Mecánico,55,6.93,7
55378,Grado,Bioingeniero,55,8.14,8.39
55790,Grado,Ingeniero Electrónico,55,7.31,7.39
50750,Grado,Ingeniero Electrónico,55,5.33,6.06
53330,Grado,Ingeniero Electrónico,55,7.1,7.18
55147,Grado,Ingeniero Industrial,55,7.48,7.4
53031,Grado,Ingeniero Industrial,55,5.85,6.36
54448,Grado,Ingeniero Industrial,55,6.74,7.23
53140,Grado,Ingeniero en Petróleo,55,5.6,6.09
53360,Grado,Ingeniero Naval,55,6.18,6.48
54299,Grado,Lic.en Administración y Sistemas,55,6.71,6.72
53019,Grado,Ingeniero en Petróleo,55,5.91,6.56
54377,Grado,Ingeniero en Informática,55,8.27,8.16
55103,Grado,Bioingeniero,55,8.22,8.19
55208,Grado,Bioingeniero,55,7.96,7.98
56688,Grado,Lic.en Administración y Sistemas,55,7.35,7.31
43135,Grado,Ingeniero Industrial,55,5.19,5.92
55124,Grado,Ingeniero en Informática,55,7.36,7.49
53064,Grado,Ingeniero Mecánico,55,6.25,6.47
53900,Grado,Ingeniero Industrial,55,5.87,6.57
55329,Grado,Ingeniero Industrial,55,6.89,7.06
53457,Grado,Ingeniero Químico,55,6.18,6.51
54038,Grado,Ingeniero Químico,55,6.48,6.9
55093,Grado,Ingeniero Industrial,55,7.55,7.59
54237,Grado,Bioingeniero,55,7.35,7.68
54387,Grado,Ingeniero en Informática,55,6.6,6.76
50060,Grado,Ingeniero Industrial,55,5.33,5.71
52204,Grado,Ingeniero Industrial,55,5.69,6.41
54301,Grado,Ingeniero Industrial,55,5.83,6.37
55046,Grado,Ingeniero Industrial,55,6.9,7.3
55318,Grado,Ingeniero Industrial,55,7.33,7.43
55414,Grado,Ingeniero Industrial,55,6.99,7.2
46200,Grado,Ingeniero Industrial,55,7.99,8.08
50023,Grado,Ingeniero Químico,55,6.26,6.85
55330,Grado,Ingeniero Químico,55,6.39,6.69
54070,Grado,Ingeniero Mecánico,55,8.08,8.02
53278,Grado,Ingeniero en Petróleo,55,6.1,6.66
54855,Grado,Ingeniero Químico,55,8.11,8.1
55241,Grado,Ingeniero Industrial,55,6.15,6.43
54895,Grado,Ingeniero Químico,55,6.13,6.36
54349,Grado,Ingeniero en Petróleo,55,6.15,6.42
52158,Grado,Ingeniero Químico,55,5.22,5.82
49729,Grado,Ingeniero en Informática,55,6.2,6.83
54772,Grado,Lic.en Administración y Sistemas,55,5.51,5.89
54027,Grado,Ingeniero Industrial,55,6.21,6.74
55070,Grado,Ingeniero Industrial,55,7.28,7.55
55090,Grado,Ingeniero Industrial,55,6.38,6.92
55151,Grado,Ingeniero Industrial,55,7.54,7.73
55189,Grado,Ingeniero Industrial,55,6.57,7.11
55248,Grado,Ingeniero Industrial,55,7.15,7.36
51162,Grado,Ingeniero Mecánico,55,5.57,6.41
56481,Grado,Lic.en Administración y Sistemas,55,6.03,6.03
53266,Grado,Ingeniero Industrial,55,5,5.95
55149,Grado,Ingeniero Industrial,55,7.14,7.22
55348,Grado,Ingeniero en Petróleo,55,7.08,7.31
55807,Grado,Lic.en Administración y Sistemas,55,6.04,6.33
54071,Grado,Ingeniero Industrial,55,5.97,6.48
55132,Grado,Ingeniero Industrial,55,6.46,6.65
55229,Grado,Ingeniero Industrial,55,6.44,6.68
54859,Grado,Ingeniero en Informática,55,6.7,6.98
54866,Grado,Lic.en Administración y Sistemas,55,6.24,6.3
55801,Grado,Lic.en Administración y Sistemas,55,7.29,7.32
53257,Grado,Ingeniero Químico,55,5.91,6.46
54165,Grado,Ingeniero Industrial,55,5.97,6.14
55075,Grado,Ingeniero Industrial,55,6.58,6.87
55170,Grado,Ingeniero Industrial,55,6.4,6.65
56632,Grado,Lic.en Administración y Sistemas,55,6.8,6.98
